Carrera,Hora,Premio,Distancia,Superficie,Numero,Caballo,Peso,Jinete,Preparador,Pozo
12,18:15,TAZ BOY,1400,ARENA,7,JAGER MAISTER,56,P. Robles,J. Pinochet P.,"MEGATRIPLE N°4 $ 15.000.000 / MEGA SUPERFECTA $ 1.000.000"
12,18:15,TAZ BOY,1400,ARENA,8,RUSTY,55,Js. Solano,W. Peña P.,"MEGATRIPLE N°4 $ 15.000.000 / MEGA SUPERFECTA $ 1.000.000"
12,18:15,TAZ BOY,1400,ARENA,9,GRAN KURU,55,Jon. A. Castillo,A. Parra D.,"MEGATRIPLE N°4 $ 15.000.000 / MEGA SUPERFECTA $ 1.000.000"
12,18:15,TAZ BOY,1400,ARENA,10,LONCO BRAVO,55,Seb. Gonzalez,G. Melej R.,"MEGATRIPLE N°4 $ 15.000.000 / MEGA SUPERFECTA $ 1.000.000"
12,18:15,TAZ BOY,1400,ARENA,11,GIORGIO DI CAPRI,58,A. Vasquez,M. Perez A.,"MEGATRIPLE N°4 $ 15.000.000 / MEGA SUPERFECTA $ 1.000.000"
12,18:15,TAZ BOY,1400,ARENA,12,KORPER,57,R. Avila,R. Montesino S.,"MEGATRIPLE N°4 $ 15.000.000 / MEGA SUPERFECTA $ 1.000.000"
12,18:15,TAZ BOY,1400,ARENA,13,REY ESCOCES,55,N. Molina,T. Cachely,"MEGATRIPLE N°4 $ 15.000.000 / MEGA SUPERFECTA $ 1.000.000"
13,18:45,TODAS IGUALES,1000,PASTO,1,EL BOHEMIO,54,V. Miranda,A. Padovani E.,"DOBLE / MEGA SUPERFECTA"
13,18:45,TODAS IGUALES,1000,PASTO,2,VALKYRIE LEGEND,56,H. Ochoa,Js. Araya B.,"DOBLE / MEGA SUPERFECTA"
13,18:45,TODAS IGUALES,1000,PASTO,3,CHICA DEL LUCERO,58,N. Molina,Cl. Bernal G.,"DOBLE / MEGA SUPERFECTA"
13,18:45,TODAS IGUALES,1000,PASTO,4,OJO DE HALCON,54,L. C. Gonzalez,F. Gonzalez S.,"DOBLE / MEGA SUPERFECTA"
13,18:45,TODAS IGUALES,1000,PASTO,5,SCANDINAVA,54,L. P. Silva,A. Bernal G.,"DOBLE / MEGA SUPERFECTA"
13,18:45,TODAS IGUALES,1000,PASTO,6,BLACK KINGLY,58,G. Rodriguez,G. Covarrubias E.,"DOBLE / MEGA SUPERFECTA"
13,18:45,TODAS IGUALES,1000,PASTO,7,NIÑITA POR DIOS,55,N. Ramirez,R. Montesino S.,"DOBLE / MEGA SUPERFECTA"
13,18:45,TODAS IGUALES,1000,PASTO,8,VIVIMOS SOÑANDO,55,R. S. Dores,J. C. Pichara J.,"DOBLE / MEGA SUPERFECTA"
13,18:45,TODAS IGUALES,1000,PASTO,9,QUE TERRIBLE,55,T. Seith,C. Gonzalez M.,"DOBLE / MEGA SUPERFECTA"
13,18:45,TODAS IGUALES,1000,PASTO,10,RECHIFLAO,55,B. Sancho,A. Bernal G.,"DOBLE / MEGA SUPERFECTA"
13,18:45,TODAS IGUALES,1000,PASTO,11,ARTHUR SHELBY,57,Seb. Gonzalez,Js. Araya B.,"DOBLE / MEGA SUPERFECTA"
13,18:45,TODAS IGUALES,1000,PASTO,12,EXTROVERTIDA,55,I. Valdivia,H. Manriquez F.,"DOBLE / MEGA SUPERFECTA"
